CONTENIDO A ANALIZAR;INTENSIDAD
cristina cifuentes podrí­a haber sido la presidenta de madrid que todaví­a añoran los madrileños, a la vista de lo que es ayuso. podrí­a haber llegado a ser la presidenta del pp, de madrid, por supuesto, pero a nivel estatal quizás también. pero su mala cabeza hundió su futuro polí­tico en el fango, de donde es imposible regresar. qué necesidad tení­a de demostrar que habí­a sacado un máster, si ni siquiera casado lo tiene. urdió un plan, con amenazas y abuso de poder, para falsificar un documento oficial, penado con cárcel, que no necesitaba para su carrera polí­tica. y para rematar el desastre le pillaron hurtando unas cremas faciales que podrí­a haber pagado tranquilamente, pero su cleptomaní­a oculta y la cámara indiscreta la destrozaron. una vergüenza de libro.;3
habrí­a que reabrir el caso. el supremo se dedica a proteger a los de siempre. hay voluntad para ello?;3
me parece un poco exagerado pedir más de tres años de prisión a cifuentes por este caso. habrí­a que investigar de quien destapó el caso, al igual que las cremas, seguro que fue de fuego amigo, de alguien que no le interesaba que destapara los casos internos de corrupción en los peperos madrileños como amenazó. al menos esta mujer no se le conoce que se llevara dinero público ni que abasteciera al partido, estorbaba a mucha gente amiga.  mucho más grave fue los del tí­tulo académico  de casadete regalado con convalidaciones y su master de tres dí­as de harvard en aravaca. comparada con la actual caótica, no tiene ni punto de comparación, que cuando habla sube el pan a costa de decir sandez tras sandez. mientras, la otra presidenta con tí­tulo nobiliario, que llenó por lo menos al partido de dinero ilí­cito, sigue campando por sus anchas.;3
parece que todos los delincuentes niegan las evidencias y pruebas hasta el ultimo momento. deberia sancionarse a aquellos delincuentes que prorrogan el juicio hasta limites insospechados, con pruebas irrefutables. si la directora en un rasgo de honestidad dice que falsifico y por orden de ... el hagan juego señores, no va mas deberia finalizarse. pero para que cifuentes haya delinquido se necesitan cooperadores y complices, de estos hay muchos, empezando por el rector, la asesora ... etc, etc. en la juan carlos i (vaya una casualidad, dios los cria y ellos se juntan) parece que hay mas irregularidades que en la sede del pp-vox.;3
preguntárselo al fracasado, media carrera en 6 meses, un máster en aravaca eeuu y otro máster presencial sin ir a clase, este es el nivel de corrupción del pp.;4
tenemos años para ver a esta asociación delictiva en los banquillos ante los jueces. más agilidad, sres. jueces y que reciban, ni más ni menos lo que les corresponde por sus corrupciones. pero tienen que caer todos, se llamen como se llamen, y devolver los 130 mil millones de euros que robaron a los españoles.;3
una fardera como presidenta de la comunidad de madrid! cosas veredes. a quien molestarí­a que hasta sus propios compañeros filtraron el video de los potitos de crema a la tele?;4
uno a uno tienen que ir cayendo frente a la justicia los miembros de la asociación. basta ya de impunidad!;3
¿la de falconetti acaso?;4
¿no ha entendido ud. que este juicio es por falsificar un documento público? eso es delito. lo de josé manuel franco, no, aunque también sea criticable. y además ud. bien lo dice. j.m franco al menos se calló asumiendo la culpa. cristina cifuentes además de todo lo hecho nos toma por imbeciles y que nos creeremos sus mentiras. aunque bien visto no anda muy desencaminada.;4
¿por qué ocurre sólo en madrid? esperanza aguirre, que fue presidenta de la ca de madrid, está imputada en varios casos de corrupción, además de nombrar todo un estanque de ranas corruptas. su mano derecha y tomador de testigo en la presidencia de madrid, josé ignacio gonzález, está en la cárcel por corrupción, y está imputado por varios casos más de corrupción, además de lo del ático de estepona. la sucesora de éste, cristina cifuentes, está siendo juzgada por corrupción, falsificación de documentos oficiales, penado con más de tres años de cárcel. el sucesor de cifuentes se marchó aburrido del pp y se afilió a ciudadanos, partido en peligro de extinción. llegaron las elecciones y la í­nclita ayuso las perdió, pero consiguió su puesto de trabajo como presidenta de la ca gracias a los votos y las negociaciones con el partido de extrema derecha vox. y en esas estamos. isabel dí­az ayuso (ida) la peor presidenta posible de lo que sea. ya no hablemos de su gestión nefasta en el annus horribilis de madrid, donde si el año 2020 ha sido malo, el 2021 ha empezado peor, y ayuso está al frente de la gestión.;3
